zone,dwtype,npers,nveh,nlic,nftw,nptw,nwah,nstud,nfem,nmale,nchild,n65+,nwork,nnwk,expfac
29,2,3,1,3,1,1,0,1,2,1,0,0,2,9,22.11
6,2,2,1,2,2,0,0,0,1,1,0,0,3,7,30.35
11,2,1,0,0,0,0,0,0,1,0,0,1,0,0,25.53
14,2,1,0,1,0,1,0,1,1,0,0,0,0,3,22.11
24,2,2,0,0,0,0,0,2,1,1,0,0,0,4,30.35
29,2,3,2,3,3,0,0,0,1,2,0,0,5,3,22.11
9,2,1,0,1,0,0,0,1,1,0,0,0,0,2,25.53
28,2,3,2,1,2,0,0,0,1,2,1,0,2,5,22.11
10,2,1,0,1,0,0,0,0,1,0,0,1,0,4,25.53
16,2,1,0,0,0,0,0,0,0,1,0,1,0,2,22.11
8,2,1,0,0,0,0,0,0,1,0,0,1,0,0,30.35
10,2,1,0,1,1,0,0,0,0,1,0,0,1,1,25.53
38,1,2,1,1,1,1,0,1,0,2,0,0,1,3,26.34
8,2,1,0,0,0,1,0,1,0,1,0,0,0,1,30.35
401,2,1,0,1,1,0,0,0,0,1,0,0,1,3,25.53
7,2,2,0,2,1,0,0,1,1,1,0,0,0,5,30.35
5,2,1,1,1,0,0,0,0,1,0,0,0,0,2,25.53
10,1,2,0,1,0,0,0,1,1,1,0,0,0,2,25.53
8,2,1,1,1,1,0,0,0,0,1,0,0,1,1,30.35
412,2,1,1,1,1,0,0,0,1,0,0,0,0,2,26.34
2,2,2,0,1,2,0,0,0,1,1,0,0,2,4,24.62
7,2,1,0,0,0,0,0,0,1,0,0,1,0,0,30.35
16,1,6,4,5,3,2,0,2,3,3,1,0,1,5,22.11
1,2,1,0,0,0,0,0,0,1,0,0,1,0,2,24.62
16,2,2,0,2,1,0,1,0,1,1,0,0,1,1,22.11
7,2,1,0,1,0,0,0,0,0,1,0,0,0,0,30.35
37,2,2,0,2,2,0,0,0,1,1,0,0,2,2,26.34
8,2,1,0,1,1,0,0,0,0,1,0,0,1,3,30.35
28,2,2,1,1,1,0,0,0,1,1,0,0,0,6,22.11
29,2,1,1,1,1,0,0,0,1,0,0,0,0,2,22.11
23,2,5,1,1,1,1,0,2,2,3,3,0,1,5,30.35
408,2,2,1,1,2,0,0,0,1,1,0,0,2,2,27.24
21,2,1,0,1,0,0,0,1,0,1,0,0,0,3,30.35
20,2,1,1,1,1,0,0,0,0,1,0,1,1,3,30.35
12,2,1,0,1,1,0,0,0,0,1,0,0,1,1,22.11
36,2,4,1,2,1,1,0,0,1,3,1,1,2,9,26.34
407,2,2,2,2,2,0,0,0,1,1,0,0,2,4,27.24
11,2,3,1,2,1,0,0,1,1,2,1,0,1,4,25.53
17,2,1,0,0,0,0,0,0,1,0,0,1,0,0,27.24
21,1,3,1,1,1,0,0,2,3,0,2,0,1,7,30.35
10,2,1,0,0,0,0,0,0,0,1,0,1,0,0,25.53
2,2,1,0,1,1,0,0,0,0,1,0,0,1,1,24.62
8,2,1,0,1,1,0,0,0,1,0,0,0,1,4,30.35
21,1,4,2,2,1,0,1,1,3,1,2,0,2,7,30.35
20,2,1,0,0,0,0,0,0,0,1,0,0,0,2,30.35
2,2,1,0,1,0,1,0,1,1,0,0,0,1,1,24.62
10,2,2,1,1,2,0,0,0,1,1,0,0,0,2,25.53
25,2,1,1,1,0,0,0,0,0,1,0,1,0,0,27.24
8,2,1,0,1,1,0,0,0,0,1,0,0,1,1,30.35
7,2,2,1,1,2,0,0,0,2,0,0,0,2,2,30.35
28,2,3,1,2,2,0,0,1,2,1,1,0,2,3,22.11
22,2,3,0,0,0,1,0,2,2,1,1,0,1,7,30.35
409,1,2,2,2,2,0,0,0,1,1,0,1,2,2,27.24
412,2,2,1,2,0,0,2,0,1,1,0,0,0,0,26.34
2,2,1,1,1,0,1,0,1,1,0,0,0,0,4,24.62
3,2,1,1,1,1,0,0,0,0,1,0,0,1,2,25.53
7,2,2,0,0,2,0,0,0,2,0,0,0,1,1,30.35
9,2,1,0,1,1,0,0,0,0,1,0,0,1,1,25.53
7,2,3,1,1,2,0,0,1,2,1,1,0,2,4,30.35
28,2,2,1,2,2,0,0,0,1,1,0,0,2,4,22.11
24,1,3,2,2,3,0,0,0,1,2,0,0,1,1,30.35
19,2,1,0,0,0,0,0,1,1,0,0,0,0,2,27.24
13,1,1,1,1,1,0,0,0,0,1,0,0,1,1,22.11
9,2,1,0,0,1,0,0,0,1,0,0,0,2,2,25.53
2,1,1,0,1,1,0,0,0,0,1,0,0,2,2,24.62
9,1,1,0,1,1,0,0,0,0,1,0,0,0,0,25.53
37,1,3,1,2,2,0,0,1,1,2,1,0,3,5,26.34
5,2,3,1,3,2,0,0,0,1,2,0,0,2,2,25.53
9,2,1,0,0,1,0,0,0,0,1,0,0,1,1,25.53
14,2,1,1,1,1,0,0,0,0,1,0,0,1,1,22.11
8,2,1,1,0,0,1,0,1,0,1,0,0,0,4,30.35
401,2,1,0,0,0,0,0,1,0,1,0,0,0,2,25.53
7,2,1,0,1,0,0,1,0,0,1,0,0,0,2,30.35
14,2,1,0,0,0,0,0,0,1,0,0,0,0,0,22.11
401,2,1,1,1,1,0,0,0,0,1,0,0,1,3,25.53
14,2,1,0,0,0,0,0,0,1,0,0,1,0,1,22.11
412,2,2,1,2,2,0,0,0,1,1,0,0,1,1,26.34
2,2,1,1,1,1,0,0,0,0,1,0,0,4,3,24.62
13,1,2,2,2,2,0,0,0,1,1,0,0,2,2,22.11
14,2,1,1,1,1,0,0,0,0,1,0,0,1,1,22.11
14,1,1,0,1,0,1,0,1,1,0,0,0,0,2,22.11
11,2,2,0,1,1,0,0,0,1,1,0,0,0,2,25.53
37,2,2,2,2,2,0,0,0,0,2,0,0,2,2,26.34
1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,24.62
29,1,3,1,1,2,0,0,0,1,2,0,1,2,2,22.11
9,2,2,1,0,2,0,0,0,1,1,0,2,4,3,25.53
29,2,2,0,1,2,0,0,0,0,2,0,0,1,3,22.11
8,2,2,0,2,1,0,0,1,2,0,0,0,0,2,30.35
401,2,2,1,2,0,2,0,0,1,1,0,0,0,4,25.53
8,2,1,0,0,0,0,0,0,1,0,0,0,0,0,30.35
34,2,4,0,0,1,0,1,1,2,2,2,0,0,2,27.24
14,1,3,5,3,3,0,0,0,1,2,0,0,1,3,22.11
3,2,1,0,0,0,0,0,0,1,0,0,1,0,2,25.53
7,2,1,1,1,1,0,0,0,0,1,0,0,1,2,30.35
19,2,2,0,2,1,0,0,1,0,2,0,0,1,6,27.24
14,2,1,0,1,1,0,0,0,0,1,0,0,1,1,22.11
24,2,1,0,0,0,0,0,0,1,0,0,1,0,0,30.35
412,2,2,1,2,1,0,0,0,1,1,0,0,0,0,26.34
