,n_variables,adjusted_r2,intercept,sum of squares,vars,,,,
0,1,0.974410719,4.218061538,4306.328477,"('dwtype',)",,0.415700176,-3.873942378,559.4789952
1,1,0.963730479,-1.766224611,6103.667831,"('npers',)",,=,,
2,1,0.890670784,-2.439492131,18398.62204,"('nveh',)",,,,
3,1,0.961637579,-2.127045006,6455.874446,"('nlic',)",,,,
4,1,0.992026674,-0.995012446,1341.802511,"('nftw',)",,,,
5,1,0.836223986,7.107281359,27561.27875,"('nptw',)",,,,
6,1,0.415700176,19.77287384,98329.7241,"('nwah',)",,,,
7,1,0.736222583,5.081612946,44390.15658,"('nstud',)",,,,
8,1,0.935557557,0.766723115,10844.78794,"('nfem',)",,,,
9,1,0.971455229,-3.233991203,4803.697278,"('nmale',)",,,,
10,1,0.477934469,18.1516084,87856.53789,"('nchild',)",,,,
11,1,0.777715141,6.245186136,37407.52262,"('n65+',)",,,,
12,2,0.98635638,0.86628718,2247.184031,"('dwtype', 'npers')",,,,
13,2,0.982232312,1.269306587,2926.442183,"('dwtype', 'nveh')",,,,
14,2,0.982076589,1.1446565,2952.090795,"('dwtype', 'nlic')",,,,
15,2,0.993647673,-0.06967866,1046.265513,"('dwtype', 'nftw')",,,,
16,2,0.981690846,3.153341144,3015.624814,"('dwtype', 'nptw')",,,,
17,2,0.974127315,3.875684007,4261.382706,"('dwtype', 'nwah')",,,,
18,2,0.981099465,2.166243888,3113.028706,"('dwtype', 'nstud')",,,,
19,2,0.982871586,2.180652899,2821.15007,"('dwtype', 'nfem')",,,,
20,2,0.987293304,-0.044480808,2092.867201,"('dwtype', 'nmale')",,,,
21,2,0.979722284,2.696512677,3339.858606,"('dwtype', 'nchild')",,,,
22,2,0.973989351,4.419846715,4284.106207,"('dwtype', 'n65+')",,,,
23,2,0.96497772,-2.533142282,5768.37465,"('npers', 'nveh')",,,,
24,2,0.974123131,-2.569556206,4262.071881,"('npers', 'nlic')",,,,
25,2,0.99200159,-1.150946001,1317.384995,"('npers', 'nftw')",,,,
26,2,0.964510847,-2.129817402,5845.271361,"('npers', 'nptw')",,,,
27,2,0.963230675,-1.529317091,6056.123193,"('npers', 'nwah')",,,,
28,2,0.97937425,-0.646142,3397.181735,"('npers', 'nstud')",,,,
29,2,0.970681525,-3.070557546,4828.924503,"('npers', 'nfem')",,,,
30,2,0.971083338,-3.089599109,4762.743547,"('npers', 'nmale')",,,,
31,2,0.984481638,-0.94990916,2555.965104,"('npers', 'nchild')",,,,
32,2,0.967751597,-1.652697572,5311.500878,"('npers', 'n65+')",,,,
33,2,0.967980233,-0.699994648,5273.843141,"('nveh', 'nlic')",,,,
34,2,0.991988029,-0.744075601,1319.618512,"('nveh', 'nftw')",,,,
35,2,0.905010147,-1.172834732,15645.38506,"('nveh', 'nptw')",,,,
36,2,0.907880138,-1.823197336,15172.68067,"('nveh', 'nwah')",,,,
37,2,0.896459017,-3.177645301,17053.80625,"('nveh', 'nstud')",,,,
38,2,0.94529358,-1.559120861,9010.467745,"('nveh', 'nfem')",,,,
39,2,0.972258904,-3.736910394,4569.120905,"('nveh', 'nmale')",,,,
40,2,0.89205782,-3.02748048,17778.70905,"('nveh', 'nchild')",,,,
41,2,0.911013491,-3.015065706,14656.59909,"('nveh', 'n65+')",,,,
42,2,0.992048239,-0.77309789,1309.701674,"('nlic', 'nftw')",,,,
43,2,0.962427379,-1.931076544,6188.430668,"('nlic', 'nptw')",,,,
44,2,0.971893599,-1.053789738,4629.288884,"('nlic', 'nwah')",,,,
45,2,0.961343027,-2.406116158,6367.029867,"('nlic', 'nstud')",,,,
46,2,0.968508614,-2.029311009,5186.815592,"('nlic', 'nfem')",,,,
47,2,0.977012248,-3.333948578,3786.217298,"('nlic', 'nmale')",,,,
48,2,0.961842075,-2.516302164,6284.833674,"('nlic', 'nchild')",,,,
49,2,0.961482224,-2.249795679,6344.103256,"('nlic', 'n65+')",,,,
50,2,0.992684999,-1.016992975,1204.823546,"('nftw', 'nptw')",,,,
51,2,0.992134029,-0.73063949,1295.571537,"('nftw', 'nwah')",,,,
52,2,0.991884969,-1.082295431,1336.593157,"('nftw', 'nstud')",,,,
53,2,0.992097373,-1.07498058,1301.608893,"('nftw', 'nfem')",,,,
54,2,0.991853646,-1.007601542,1341.752126,"('nftw', 'nmale')",,,,
55,2,0.991930041,-1.113779374,1329.1695,"('nftw', 'nchild')",,,,
56,2,0.991947902,-1.081223331,1326.227677,"('nftw', 'n65+')",,,,
57,2,0.836068844,5.957807,27000.42128,"('nptw', 'nwah')",,,,
58,2,0.832685381,7.21684027,27557.69739,"('nptw', 'nstud')",,,,
59,2,0.934374323,0.693017797,10808.93333,"('nptw', 'nfem')",,,,
60,2,0.970839062,-3.215636464,4802.977306,"('nptw', 'nmale')",,,,
61,2,0.837322904,7.991338287,26793.87019,"('nptw', 'nchild')",,,,
62,2,0.871449327,3.605544206,21173.04857,"('nptw', 'n65+')",,,,
63,2,0.755032406,2.364732807,40347.5971,"('nwah', 'nstud')",,,,
64,2,0.934162361,0.804193332,10843.8447,"('nwah', 'nfem')",,,,
65,2,0.97099943,-3.065905154,4776.563612,"('nwah', 'nmale')",,,,
66,2,0.572881498,10.12945485,70348.91829,"('nwah', 'nchild')",,,,
67,2,0.789364045,3.802704651,34692.97511,"('nwah', 'n65+')",,,,
68,2,0.948453909,2.295505465,8489.943015,"('nstud', 'nfem')",,,,
69,2,0.976765277,-2.655843958,3826.89497,"('nstud', 'nmale')",,,,
70,2,0.744665048,5.039794975,42055.16161,"('nstud', 'nchild')",,,,
71,2,0.820389414,2.107893685,29582.91519,"('nstud', 'n65+')",,,,
72,2,0.971109444,-3.080345994,4758.44377,"('nfem', 'nmale')",,,,
73,2,0.967985379,1.888831644,5272.995546,"('nfem', 'nchild')",,,,
74,2,0.936501382,1.038821325,10458.59426,"('nfem', 'n65+')",,,,
75,2,0.977390957,-2.688450268,3723.841753,"('nmale', 'nchild')",,,,
76,2,0.972227896,-3.214947278,4574.22812,"('nmale', 'n65+')",,,,
77,2,0.774838907,5.710930942,37085.35051,"('nchild', 'n65+')",,,,
78,3,0.987204749,0.25001772,2061.638598,"('dwtype', 'npers', 'nveh')",,,,
79,3,0.986900663,0.297055835,2110.634521,"('dwtype', 'npers', 'nlic')",,,,
80,3,0.993728786,-0.239492332,1010.451189,"('dwtype', 'npers', 'nftw')",,,,
81,3,0.986122465,0.991951098,2236.021969,"('dwtype', 'npers', 'nptw')",,,,
82,3,0.986217665,1.037080226,2220.682835,"('dwtype', 'npers', 'nwah')",,,,
83,3,0.986867862,0.729269685,2115.919656,"('dwtype', 'npers', 'nstud')",,,,
84,3,0.987370219,0.061849944,2034.977174,"('dwtype', 'npers', 'nfem')",,,,
85,3,0.987225553,0.084615208,2058.286547,"('dwtype', 'npers', 'nmale')",,,,
86,3,0.987931469,0.314556124,1944.545589,"('dwtype', 'npers', 'nchild')",,,,
87,3,0.99235299,1.074739207,1232.126651,"('dwtype', 'npers', 'n65+')",,,,
88,3,0.982085421,1.101896575,2886.491843,"('dwtype', 'nveh', 'nlic')",,,,
89,3,0.99350652,-0.06803165,1046.263831,"('dwtype', 'nveh', 'nftw')",,,,
90,3,0.983992375,1.57681759,2579.233295,"('dwtype', 'nveh', 'nptw')",,,,
