,n_variables,adjusted_r2,intercept,sum of squares,vars
0,1,0.015676434,1.598122138,2308.610158,"('dwtype',)"
1,1,0.119727353,0.47872745,2064.571495,"('npers',)"
2,1,0.078038844,0.802278435,2162.346777,"('nveh',)"
3,1,0.148964888,0.524022327,1995.998444,"('nlic',)"
4,1,0.419986302,0.21488178,1360.350968,"('nftw',)"
5,1,0.016853405,1.012666829,2305.849718,"('nptw',)"
6,1,0.001458278,1.069947408,2341.9571,"('nwah',)"
7,1,4.06E-05,1.050855253,2345.281985,"('nstud',)"
8,1,0.031427331,0.854846973,2271.668363,"('nfem',)"
9,1,0.093210261,0.69401644,2126.764082,"('nmale',)"
10,1,0.001628886,1.046533325,2341.556959,"('nchild',)"
11,1,0.04891981,1.144860663,2230.641899,"('n65+',)"
12,2,0.119395566,0.514939987,2064.454794,"('dwtype', 'npers')"
13,2,0.080903524,1.066293471,2154.69404,"('dwtype', 'nveh')"
14,2,0.149820015,0.688554839,1993.128901,"('dwtype', 'nlic')"
15,2,0.419918178,0.276201075,1359.921267,"('dwtype', 'nftw')"
16,2,0.029222413,1.498788077,2275.853228,"('dwtype', 'nptw')"
17,2,0.018362459,1.632083164,2301.312881,"('dwtype', 'nwah')"
18,2,0.015256867,1.601598998,2308.593512,"('dwtype', 'nstud')"
19,2,0.038809264,1.262838649,2253.378187,"('dwtype', 'nfem')"
20,2,0.095493302,0.936215697,2120.490332,"('dwtype', 'nmale')"
21,2,0.015854832,1.572557461,2307.191665,"('dwtype', 'nchild')"
22,2,0.06732879,1.728215328,2186.518121,"('dwtype', 'n65+')"
23,2,0.153179033,0.398536747,1985.254149,"('npers', 'nveh')"
24,2,0.186297713,0.294370402,1907.612002,"('npers', 'nlic')"
25,2,0.423345853,0.141466951,1351.885559,"('npers', 'nftw')"
26,2,0.121504845,0.481185791,2059.509884,"('npers', 'nptw')"
27,2,0.124908702,0.482894086,2051.530013,"('npers', 'nwah')"
