tripno,ozone,empst,occ,jbsite,wkweek,female,age,dweltp,pinc,hhsize,nveh,weight,nwkrs,nldr,hinc,trdist,mindst,minsub,dsttrm,nterm,aivtt,rivttg,rivttt,r-acca,r-egrw,r-wait,r-fare,lrdum,tivtt,twait,t-accw,t-egrw,t-fare,mcost,mdist,mspace,lnlots,zcost,zdist,zspace,zcd,zcs,zds,mdpri,mspri,lnlpri,zdpri,zspri,zdspri,free,aavail,tavail,dlic,a-dr,a-pass,transit,rail,walk
9,73,2,1,1,1,1,36,2,18,3,3,1.72,2,1,43,5,710,1,14,22,18,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,17.89,2.63,5.36,8.07,0.71,6.29,527,5.45,2.89,8.32,67932.45,0.63,-252.43,0.05,-30.29,40,4.76,0,0,0,0,0,5,1,0,-1,0,1,-1,-1
18,140,2,8,5,1,1,60,4,18,1,9,0.69,1,0,18,7,286,10,8,21,27,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,14.68,1.95,2.82,2.43,0.71,6.61,685,4.73,4.74,5.09,47493.77,1.34,-156.84,0.04,-57.79,0,0,9.99,0,0,0,0,5,1,0,-1,0,1,-1,-1
22,687,2,1,1,1,1,32,1,38,2,2,0.69,2,2,80,29,233,4,14,20,57,31.56,2.43,15.07,2.47,1,3.56,0,64.81,10.05,2.12,6.3,1.42,6.19,642,4.81,4.55,6.48,58538.11,1.03,-18.77,-0.04,-46.71,62,1.95,0,0,0,0,0,1,1,1,0,1,0,0,-1
68,254,2,1,1,1,1,48,1,23,2,3,1.48,2,2,50,13,341,6,13,22,38,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,28.29,3.36,2.59,4.45,0.71,5.38,623,4.74,4.22,3.92,65494.41,0.66,114.96,-0.03,35.03,100,1.61,0,0,0,0,0,2,1,1,0,0,1,-1,-1
115,29,2,8,1,1,0,48,4,70,3,1,1.43,1,3,130,2,283,3,15,22,5,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9.62,1.5,3.94,2.31,0.71,6.47,619,4.69,4.47,6.55,65873.03,1.18,-115.43,0.18,96.17,61,3.55,0.69,156.25,0.21,5,731,2,1,1,1,0,0,-1,0
180,15,2,1,1,1,1,65,3,18,3,2,1.78,3,1,58,3,758,4,15,21,5,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,10.11,1.5,5.62,2.04,0.71,5.11,692,4.54,4.17,3.06,63856.28,0.84,154.12,-0.34,30.57,85,4.46,1.1,0,0.65,0,0,3,1,0,-1,0,1,-1,0
283,814,2,4,2,1,0,50,1,23,2,2,0.69,9,9,0,30,961,1,20,22,63,23.23,0,10.55,7.55,0,2.6,0,66.54,7.87,7.24,3.49,1.42,5.66,542,5.59,2.64,3.26,69174.63,0.58,60.9,-0.3,-34.42,16,4.06,0.69,1,0.78,0,881,1,1,1,0,0,0,1,-1
296,64,2,4,2,3,0,27,4,38,1,1,1.14,1,1,38,6,103,4,14,21,23,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,13.87,2.05,1.33,1.4,0.71,6.31,647,4.78,4.59,6.82,52346.57,1.07,3.42,-0.21,-28.99,0,0,9.99,0,0,0,1,1,1,1,1,0,0,-1,-1
355,396,2,8,1,1,0,44,1,70,4,2,1.78,3,3,115,26,165,11,5,20,54,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,50.08,5.76,0.78,4.27,0.71,6.38,655,4.83,4.38,4.03,59947.35,1.16,-5.94,-0.1,-65.46,86,3.98,0.69,64,0.01,0,740,1,1,1,1,0,0,-1,-1
404,208,2,8,1,1,0,43,1,70,4,1,1.87,1,2,100,10,207,10,12,21,28,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,9999.99,27.97,1.5,2.6,6.04,0.71,6.46,690,4.81,4.73,5.24,47551.11,1.22,-120.49,0.31,-36.57,0,0,9.99,0,0,0,1,1,1,1,1,0,0,-1,-1
